County,Year,healthcare,income,smoking
Ohio,2024,760,60200.0,19.0
Pendleton,2018,2410,40000.0,21.0
Pendleton,2019,2350,41300.0,21.0
Pendleton,2020,2330,40400.0,22.0
Pendleton,2021,2330,43500.0,28.0
Pendleton,2022,2320,47200.0,26.0
Pendleton,2023,2310,48000.0,25.0
Pendleton,2024,3070,52600.0,23.0
Pleasants,2018,3840,47300.0,21.0
Pleasants,2019,3800,47100.0,21.0
Pleasants,2020,7510,50800.0,22.0
Pleasants,2021,7510,55000.0,27.0
Pleasants,2022,7460,55300.0,25.0
Pleasants,2023,7440,53700.0,24.0
Pleasants,2024,7600,56400.0,21.0
Pocahontas,2018,2150,35900.0,22.0
Pocahontas,2019,2130,35400.0,22.0
Pocahontas,2020,2110,39500.0,23.0
Pocahontas,2021,2100,39500.0,27.0
Pocahontas,2022,2750,41200.0,27.0
Pocahontas,2023,2730,40300.0,27.0
Pocahontas,2024,1960,44600.0,26.0
Preston,2018,2830,44400.0,22.0
Preston,2019,3070,45200.0,22.0
Preston,2020,2590,47100.0,21.0
Preston,2021,2420,50800.0,25.0
Preston,2022,2570,51800.0,25.0
Preston,2023,2380,57200.0,24.0
Preston,2024,2640,56000.0,22.0
Putnam,2018,920,56800.0,18.0
Putnam,2019,930,59800.0,18.0
Putnam,2020,950,62000.0,20.0
Putnam,2021,930,67000.0,22.0
Putnam,2022,970,69200.0,21.0
Putnam,2023,940,66900.0,19.0
Putnam,2024,950,80000.0,19.0
Raleigh,2018,1060,42300.0,23.0
Raleigh,2019,1110,41300.0,23.0
Raleigh,2020,1140,41300.0,25.0
Raleigh,2021,1180,45400.0,27.0
Raleigh,2022,1260,44500.0,25.0
Raleigh,2023,1260,42500.0,25.0
Raleigh,2024,1290,51300.0,24.0
Randolph,2018,1460,38500.0,24.0
Randolph,2019,1260,37200.0,24.0
Randolph,2020,1150,40100.0,22.0
Randolph,2021,1370,46300.0,28.0
Randolph,2022,1430,48300.0,26.0
Randolph,2023,1490,44500.0,26.0
Randolph,2024,1320,49400.0,22.0
Ritchie,2018,4990,42200.0,24.0
Ritchie,2019,4940,40600.0,24.0
Ritchie,2020,4890,43700.0,22.0
Ritchie,2021,4860,46100.0,28.0
Ritchie,2022,4780,45100.0,26.0
Ritchie,2023,4750,47900.0,26.0
Ritchie,2024,8380,52000.0,25.0
Roane,2018,2060,35100.0,23.0
Roane,2019,1780,37100.0,23.0
Roane,2020,1760,36700.0,23.0
Roane,2021,1990,41700.0,30.0
Roane,2022,1960,42400.0,27.0
Roane,2023,1930,41200.0,27.0
Roane,2024,1740,42700.0,26.0
Summers,2018,2650,31500.0,23.0
Summers,2019,2570,32400.0,23.0
Summers,2020,2600,34800.0,24.0
Summers,2021,3190,37000.0,28.0
Summers,2022,3140,38700.0,26.0
Summers,2023,4150,40700.0,26.0
Summers,2024,3970,40600.0,24.0
Taylor,2018,3380,44600.0,22.0
Taylor,2019,2810,45400.0,22.0
Taylor,2020,2820,46400.0,21.0
Taylor,2021,2810,48300.0,26.0
Taylor,2022,2780,53600.0,26.0
Taylor,2023,2780,51600.0,24.0
Taylor,2024,4120,54000.0,22.0
Tucker,2018,2320,42100.0,20.0
Tucker,2019,2310,39500.0,20.0
Tucker,2020,2310,48100.0,21.0
Tucker,2021,2320,47200.0,26.0
Tucker,2022,2280,44500.0,23.0
Tucker,2023,1700,49100.0,23.0
Tucker,2024,1670,50400.0,21.0
Tyler,2018,2240,42400.0,21.0
Tyler,2019,2240,44000.0,21.0
Tyler,2020,1760,46100.0,21.0
