County_,Pollutant_,Year_,Daily Max 1-hour SO2 Concentration_mean,Daily Max 1-hour SO2 Concentration_median,Daily Max 1-hour SO2 Concentration_<lambda_0>,Daily Max 1-hour SO2 Concentration_<lambda_1>,Daily Max 1-hour SO2 Concentration_<lambda_2>,Daily Max 8-hour Ozone Concentration_mean,Daily Max 8-hour Ozone Concentration_median,Daily Max 8-hour Ozone Concentration_<lambda_0>,Daily Max 8-hour Ozone Concentration_<lambda_1>,Daily Max 8-hour Ozone Concentration_<lambda_2>,Daily Max 8-hour CO Concentration_mean,Daily Max 8-hour CO Concentration_median,Daily Max 8-hour CO Concentration_<lambda_0>,Daily Max 8-hour CO Concentration_<lambda_1>,Daily Max 8-hour CO Concentration_<lambda_2>,Daily Mean PM2.5 Concentration_mean,Daily Mean PM2.5 Concentration_median,Daily Mean PM2.5 Concentration_<lambda_0>,Daily Mean PM2.5 Concentration_<lambda_1>,Daily Mean PM2.5 Concentration_<lambda_2>,Daily Mean PM10 Concentration_mean,Daily Mean PM10 Concentration_median,Daily Mean PM10 Concentration_<lambda_0>,Daily Mean PM10 Concentration_<lambda_1>,Daily Mean PM10 Concentration_<lambda_2>
Berkeley,PM25,2021,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,8.770689655172413,7.3,5.175,7.3,11.55,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,PM25,2022,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,8.177310924369747,7.6,4.9,7.6,10.25,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,PM25,2023,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,10.314423076923077,8.350000000000001,5.55,8.350000000000001,10.925,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Berkeley,PM25,2024,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.463953488372093,6.75,4.2,6.75,9.25,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394,15.00196377918394
Brooke,PM10,2018,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,15.297222222222222,13.0,9.0,13.0,20.0
Brooke,PM10,2019,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158819,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,16.11173184357542,15.0,10.0,15.0,20.0
Brooke,PM10,2020,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,14.628415300546449,13.0,9.0,13.0,19.0
Brooke,PM10,2021,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,17.477900552486187,15.0,10.0,15.0,23.0
Brooke,PM10,2022,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,15.672176308539944,15.0,12.0,15.0,19.0
Brooke,PM10,2023,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,4.524664125245198,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.0397006943248981,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,0.2687698592827961,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,7.983177516158818,18.73961218836565,16.0,11.0,16.0,22.0
