County,AQI_records_18,Good_18,Moderate_18,Unhealthy_sens_18,Unhealthy_18,Very_unhealthy_18,Hazardous_18,Max_AQI_18,90th_Percentile_AQI_18,Median_AQI_18,CO_18,NO2_18,O3_18,PM2.5_18,PM10_18,AQI_records_19,Good_19,Moderate_19,Unhealthy_sens_19,Unhealthy_19,Very_unhealthy_19,Hazardous_19,Max_AQI_19,90th_Percentile_AQI_19,Median_AQI_19,CO_19,NO2_19,O3_19,PM2.5_19,PM10_19
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,361.0,284.0,77.0,0.0,0.0,0.0,0.0,88.0,57.0,41.0,0.0,0.0,190.0,171.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,365.0,256.0,109.0,0.0,0.0,0.0,0.0,71.0,58.0,44.0,0.0,0.0,153.0,212.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,365.0,163.0,202.0,0.0,0.0,0.0,0.0,95.0,67.0,52.0,0.0,0.0,101.0,264.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,362.0,262.0,99.0,1.0,0.0,0.0,0.0,129.0,61.0,40.0,0.0,0.0,163.0,199.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,362.0,278.0,84.0,0.0,0.0,0.0,0.0,67.0,55.0,35.0,0.0,0.0,0.0,362.0,0.0
Montgomery,324,81,243,0,0,0,0,93,70,57,0,0,31,293,0,365.0,261.0,99.0,5.0,0.0,0.0,0.0,143.0,61.0,44.0,0.0,2.0,226.0,137.0,0.0
Morgan,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0,365.0,247.0,118.0,0.0,0.0,0.0,0.0,93.0,58.0,45.0,0.0,0.0,145.0,220.0,0.0
Morgan,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0,364.0,344.0,20.0,0.0,0.0,0.0,0.0,87.0,48.0,35.0,0.0,0.0,364.0,0.0,0.0
Morgan,364,251,113,0,0,0,0,100,59,44,0,0,128,236,0,356.0,341.0,15.0,0.0,0.0,0.0,0.0,80.0,47.0,36.0,0.0,0.0,356.0,0.0,0.0
Russell,364,199,165,0,0,0,0,99,64,48,0,0,66,298,0,363.0,195.0,168.0,0.0,0.0,0.0,0.0,84.0,63.0,48.0,0.0,0.0,64.0,299.0,0.0
Shelby,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0,244.0,202.0,39.0,3.0,0.0,0.0,0.0,119.0,61.0,42.0,0.0,0.0,244.0,0.0,0.0
Shelby,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0,365.0,338.0,27.0,0.0,0.0,0.0,0.0,84.0,49.0,36.0,0.0,0.0,365.0,0.0,0.0
Shelby,242,217,24,1,0,0,0,112,51,38,0,0,242,0,0,365.0,152.0,209.0,4.0,0.0,0.0,0.0,148.0,67.0,52.0,0.0,3.0,118.0,243.0,1.0
Sumter,357,327,30,0,0,0,0,77,48,31,0,0,202,155,0,354.0,287.0,67.0,0.0,0.0,0.0,0.0,67.0,54.0,38.0,0.0,0.0,115.0,239.0,0.0
Sumter,357,327,30,0,0,0,0,77,48,31,0,0,202,155,0,238.0,211.0,27.0,0.0,0.0,0.0,0.0,97.0,54.0,39.0,0.0,0.0,238.0,0.0,0.0
Tuscaloosa,320,223,96,1,0,0,0,115,60,42,0,0,165,155,0,264.0,217.0,47.0,0.0,0.0,0.0,0.0,87.0,54.0,39.0,0.0,0.0,173.0,91.0,0.0
Aleutians East ,120,120,0,0,0,0,0,46,28,13,0,0,0,120,0,121.0,119.0,2.0,0.0,0.0,0.0,0.0,55.0,29.0,14.0,0.0,0.0,0.0,121.0,0.0
Anchorage ,365,288,77,0,0,0,0,87,60,30,0,0,0,288,77,365.0,254.0,102.0,5.0,4.0,0.0,0.0,163.0,67.0,32.0,5.0,0.0,0.0,285.0,75.0
Bethel ,202,194,8,0,0,0,0,77,37,19,0,0,0,157,45,317.0,302.0,13.0,1.0,1.0,0.0,0.0,185.0,34.0,13.0,0.0,0.0,0.0,212.0,105.0
Denali ,364,361,3,0,0,0,0,58,44,35,0,0,363,1,0,360.0,355.0,5.0,0.0,0.0,0.0,0.0,82.0,44.0,36.0,0.0,0.0,348.0,12.0,0.0
Fairbanks North Star ,365,215,111,29,10,0,0,158,103,40,0,9,90,264,2,365.0,205.0,121.0,18.0,16.0,1.0,4.0,503.0,103.0,44.0,0.0,6.0,98.0,258.0,3.0
Juneau ,352,268,84,0,0,0,0,85,59,31,0,0,0,349,3,362.0,280.0,79.0,3.0,0.0,0.0,0.0,145.0,60.0,27.0,0.0,0.0,0.0,340.0,22.0
Kenai Peninsula ,120,120,0,0,0,0,0,36,21,10,0,0,0,120,0,118.0,111.0,6.0,1.0,0.0,0.0,0.0,140.0,28.0,11.0,0.0,0.0,0.0,118.0,0.0
Matanuska-Susitna ,365,308,53,3,1,0,0,151,58,29,0,0,182,165,18,361.0,262.0,96.0,3.0,0.0,0.0,0.0,127.0,66.0,25.0,0.0,0.0,0.0,313.0,48.0
Apache,358,354,4,0,0,0,0,58,27,13,0,0,0,58,300,359.0,357.0,2.0,0.0,0.0,0.0,0.0,64.0,21.0,11.0,0.0,0.0,0.0,62.0,297.0
Cochise,365,266,99,0,0,0,0,90,63,45,0,0,293,50,22,365.0,253.0,112.0,0.0,0.0,0.0,0.0,97.0,64.0,46.0,0.0,0.0,305.0,45.0,15.0
Coconino,365,236,126,3,0,0,0,126,77,45,0,0,351,14,0,365.0,280.0,85.0,0.0,0.0,0.0,0.0,80.0,61.0,45.0,0.0,0.0,349.0,16.0,0.0
Gila,365,220,122,22,1,0,0,171,87,47,0,0,328,2,35,365.0,210.0,139.0,16.0,0.0,0.0,0.0,146.0,87.0,48.0,0.0,0.0,349.0,1.0,15.0
La Paz,364,257,104,3,0,0,0,105,71,44,0,0,335,24,5,364.0,303.0,61.0,0.0,0.0,0.0,0.0,77.0,58.0,44.0,0.0,0.0,357.0,6.0,1.0
Maricopa,365,49,252,57,4,3,0,274,115,71,0,6,178,85,96,365.0,50.0,277.0,38.0,0.0,0.0,0.0,147.0,101.0,67.0,0.0,2.0,204.0,92.0,67.0
Mohave,363,349,13,1,0,0,0,105,35,18,0,0,0,54,309,365.0,358.0,7.0,0.0,0.0,0.0,0.0,69.0,29.0,14.0,0.0,0.0,0.0,52.0,313.0
Navajo,363,260,101,2,0,0,0,115,74,44,0,0,353,3,7,365.0,294.0,70.0,1.0,0.0,0.0,0.0,112.0,58.0,44.0,0.0,0.0,357.0,1.0,7.0
Pima,365,164,190,11,0,0,0,129,84,52,0,0,224,79,62,365.0,207.0,156.0,2.0,0.0,0.0,0.0,103.0,71.0,49.0,0.0,0.0,237.0,51.0,77.0
Pinal,365,71,243,34,6,3,8,1051,108,67,0,0,120,53,192,365.0,104.0,228.0,21.0,2.0,3.0,7.0,929.0,100.0,63.0,0.0,0.0,148.0,66.0,151.0
Santa Cruz,365,252,111,1,1,0,0,194,63,39,0,0,0,316,49,362.0,250.0,110.0,2.0,0.0,0.0,0.0,120.0,67.0,39.0,0.0,0.0,0.0,323.0,39.0
Santa Cruz,365,252,111,1,1,0,0,194,63,39,0,0,0,316,49,365.0,291.0,74.0,0.0,0.0,0.0,0.0,74.0,54.0,39.0,0.0,0.0,166.0,199.0,0.0
Yavapai,365,289,75,1,0,0,0,101,61,44,0,0,362,3,0,357.0,298.0,59.0,0.0,0.0,0.0,0.0,87.0,54.0,43.0,0.0,0.0,355.0,2.0,0.0
Yuma,365,202,147,15,1,0,0,169,80,49,0,0,178,129,58,365.0,226.0,136.0,3.0,0.0,0.0,0.0,129.0,67.0,47.0,0.0,0.0,214.0,120.0,31.0
Arkansas,118,79,39,0,0,0,0,91,59,43,0,0,0,118,0,118.0,77.0,41.0,0.0,0.0,0.0,0.0,80.0,58.0,41.0,0.0,0.0,0.0,118.0,0.0
Ashley,121,82,38,1,0,0,0,103,58,39,0,0,0,121,0,120.0,72.0,48.0,0.0,0.0,0.0,0.0,71.0,58.0,43.0,0.0,0.0,0.0,120.0,0.0
Clark,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,355.0,347.0,8.0,0.0,0.0,0.0,0.0,67.0,46.0,32.0,0.0,0.0,355.0,0.0,0.0
Clark,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,327.0,314.0,13.0,0.0,0.0,0.0,0.0,74.0,47.0,34.0,0.0,0.0,327.0,0.0,0.0
Clark,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,365.0,225.0,139.0,1.0,0.0,0.0,0.0,101.0,62.0,45.0,0.0,0.0,194.0,171.0,0.0
