AQI_records_21,Good_21,Moderate_21,Unhealthy_sens_21,Unhealthy_21,Very_unhealthy_21,Hazardous_21,Max_AQI_21,90th_Percentile_AQI_21,Median_AQI_21,CO_21,NO2_21,O3_21,PM2.5_21,PM10_21,State_County_Year
365,247,116,2,0,0,0,139,65,46,0,0,271,94,0,ColoradoMesa2021
365,280,83,2,0,0,0,115,64,44,0,0,364,1,0,ColoradoMontezuma2021
322,203,103,16,0,0,0,140,84,48,0,0,322,0,0,ColoradoPark2021
122,115,7,0,0,0,0,90,40,14,0,0,0,48,74,ColoradoPitkin2021
361,345,14,1,0,0,1,584,39,19,0,0,0,0,361,ColoradoProwers2021
220,203,16,1,0,0,0,138,48,23,0,0,0,83,137,ColoradoPueblo2021
365,212,148,4,1,0,0,156,77,48,0,0,251,114,0,ColoradoRio Blanco2021
354,347,7,0,0,0,0,68,31,15,0,0,0,0,354,ColoradoRoutt2021
119,114,5,0,0,0,0,79,33,9,0,0,0,119,0,ColoradoSan Juan2021
252,165,87,0,0,0,0,97,67,48,0,0,199,0,53,ColoradoSan Miguel2021
365,156,169,39,1,0,0,154,101,54,0,0,259,106,0,ColoradoWeld2021
363,225,119,13,6,0,0,185,74,46,0,9,133,221,0,ConnecticutFairfield2021
365,247,115,3,0,0,0,136,63,42,0,12,127,226,0,ConnecticutHartford2021
364,300,61,3,0,0,0,142,58,38,1,0,249,114,0,ConnecticutLitchfield2021
207,171,25,10,1,0,0,151,80,39,0,0,207,0,0,ConnecticutMiddlesex2021
365,220,131,12,2,0,0,159,69,46,0,8,138,218,1,ConnecticutNew Haven2021
363,277,79,7,0,0,0,129,60,39,0,0,135,228,0,ConnecticutNew London2021
201,170,30,1,0,0,0,101,58,39,0,0,201,0,0,ConnecticutTolland2021
361,331,29,1,0,0,0,140,48,34,0,0,361,0,0,ConnecticutWindham2021
365,14,285,41,25,0,0,187,134,69,0,0,0,365,0,Country Of MexicoBAJA CALIFORNIA NORTE2021
105,100,5,0,0,0,0,61,47,34,0,0,105,0,0,Country Of MexicoSONORA2021
360,260,98,2,0,0,0,108,58,42,0,0,183,177,0,DelawareKent2021
365,195,166,4,0,0,0,144,67,48,0,0,137,228,0,DelawareNew Castle2021
365,277,88,0,0,0,0,100,57,40,0,0,232,133,0,DelawareSussex2021
365,172,185,7,1,0,0,153,71,51,0,22,108,235,0,District Of ColumbiaDistrict of Columbia2021
364,308,56,0,0,0,0,84,52,39,0,0,129,235,0,FloridaAlachua2021
365,275,90,0,0,0,0,87,55,42,0,0,101,264,0,FloridaBaker2021
365,228,137,0,0,0,0,78,57,46,0,0,65,300,0,FloridaBay2021
365,255,110,0,0,0,0,84,58,45,0,0,121,244,0,FloridaBrevard2021
365,191,173,1,0,0,0,103,61,49,0,5,68,292,0,FloridaBroward2021
360,236,124,0,0,0,0,83,56,44,0,0,0,360,0,FloridaCitrus2021
363,278,85,0,0,0,0,81,55,42,0,0,101,262,0,FloridaCollier2021
364,236,128,0,0,0,0,77,56,44,0,0,85,279,0,FloridaColumbia2021
365,140,225,0,0,0,0,94,62,52,0,0,43,322,0,FloridaDuval2021
365,200,165,0,0,0,0,75,60,49,0,0,80,285,0,FloridaEscambia2021
353,344,9,0,0,0,0,67,44,33,0,0,353,0,0,FloridaFlagler2021
336,207,129,0,0,0,0,69,57,46,0,0,0,336,0,FloridaHamilton2021
358,344,14,0,0,0,0,93,46,33,0,0,358,0,0,FloridaHighlands2021
365,167,197,1,0,0,0,129,63,51,0,0,71,294,0,FloridaHillsborough2021
362,206,156,0,0,0,0,74,58,48,0,0,41,321,0,FloridaHolmes2021
360,345,15,0,0,0,0,74,47,36,0,0,360,0,0,FloridaIndian River2021
356,338,18,0,0,0,0,87,48,34,0,0,356,0,0,FloridaLake2021
365,299,66,0,0,0,0,97,54,41,0,0,160,201,4,FloridaLee2021
365,194,171,0,0,0,0,80,59,48,0,0,44,321,0,FloridaLeon2021
364,358,6,0,0,0,0,61,44,32,0,0,364,0,0,FloridaLiberty2021
365,355,10,0,0,0,0,93,45,32,0,0,365,0,0,FloridaManatee2021
365,257,107,1,0,0,0,101,57,42,0,0,144,221,0,FloridaMarion2021
365,251,114,0,0,0,0,88,57,44,0,0,73,292,0,FloridaMartin2021
365,230,133,2,0,0,0,135,61,46,0,7,67,291,0,FloridaMiami-Dade2021
365,359,6,0,0,0,0,61,44,33,0,0,357,0,8,FloridaOkaloosa2021
365,354,11,0,0,0,0,87,45,33,0,1,364,0,0,FloridaOrange2021
355,339,16,0,0,0,0,93,46,33,0,0,355,0,0,FloridaOsceola2021
365,263,102,0,0,0,0,83,56,43,0,0,122,243,0,FloridaPalm Beach2021
365,346,19,0,0,0,0,87,47,35,0,0,365,0,0,FloridaPasco2021
365,222,143,0,0,0,0,95,59,47,0,0,104,261,0,FloridaPinellas2021
365,232,133,0,0,0,0,84,58,45,0,0,94,271,0,FloridaPolk2021
340,340,0,0,0,0,0,46,28,16,0,0,0,0,340,FloridaPutnam2021
364,254,110,0,0,0,0,79,56,44,0,0,91,273,0,FloridaSanta Rosa2021
365,241,124,0,0,0,0,90,58,45,0,0,90,275,0,FloridaSarasota2021
365,273,92,0,0,0,0,97,55,42,0,0,135,230,0,FloridaSeminole2021
363,353,10,0,0,0,0,74,45,33,0,0,363,0,0,FloridaSt. Lucie2021
363,223,140,0,0,0,0,77,58,47,0,0,98,265,0,FloridaVolusia2021
365,284,81,0,0,0,0,81,55,41,2,0,97,266,0,FloridaWakulla2021
365,198,165,2,0,0,0,131,66,48,0,0,47,318,0,GeorgiaBibb2021
121,118,3,0,0,0,0,56,40,25,0,0,0,121,0,GeorgiaCharlton2021
363,176,186,1,0,0,0,103,63,51,0,0,31,332,0,GeorgiaChatham2021
245,238,7,0,0,0,0,80,45,33,0,0,245,0,0,GeorgiaChattooga2021
365,195,169,1,0,0,0,107,65,49,0,0,61,304,0,GeorgiaClarke2021
121,69,52,0,0,0,0,74,62,44,0,0,0,121,0,GeorgiaClayton2021
285,218,67,0,0,0,0,80,57,41,0,0,188,97,0,GeorgiaCobb2021
