Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State_County_Year
245,214,30,1,0,0,0,112,51,39,0,0,245,0,0,illinoiseffingham2018
362,212,147,3,0,0,0,105,63,47,0,0,111,251,0,illinoishamilton2018
356,208,145,3,0,0,0,122,66,47,0,0,131,225,0,illinoisjersey2018
344,323,19,2,0,0,0,119,47,33,0,0,344,0,0,illinoisjodaviess2018
364,275,84,5,0,0,0,122,63,39,0,0,287,77,0,illinoiskane2018
352,304,40,6,2,0,0,164,58,35,0,0,352,0,0,illinoislake2018
365,162,200,3,0,0,0,126,67,52,0,0,86,279,0,illinoismacon2018
333,300,30,3,0,0,0,115,50,36,0,89,244,0,0,illinoismacoupin2018
365,159,196,8,2,0,0,154,74,53,0,0,166,195,4,illinoismadison2018
362,213,141,8,0,0,0,122,71,46,0,0,185,177,0,illinoismchenry2018
365,169,195,1,0,0,0,108,67,52,0,0,99,266,0,illinoismclean2018
365,189,173,3,0,0,0,101,67,49,0,0,121,244,0,illinoispeoria2018
363,225,137,1,0,0,0,129,61,46,0,0,150,213,0,illinoisrandolph2018
365,212,152,1,0,0,0,101,63,46,0,0,161,204,0,illinoisrockisland2018
364,152,207,4,1,0,0,174,64,52,2,17,101,244,0,illinoissaintclair2018
363,189,173,1,0,0,0,122,66,49,0,0,107,256,0,illinoissangamon2018
365,194,167,4,0,0,0,126,70,49,0,0,160,205,0,illinoiswill2018
362,310,49,2,1,0,0,151,54,36,0,0,335,27,0,illinoiswinnebago2018
365,193,166,6,0,0,0,122,68,50,0,0,162,203,0,indianaallen2018
365,242,119,4,0,0,0,108,63,44,0,0,184,181,0,indianabartholomew2018
365,324,36,5,0,0,0,112,54,34,0,0,365,0,0,indianaboone2018
363,339,24,0,0,0,0,97,48,33,0,0,363,0,0,indianabrown2018
359,337,19,3,0,0,0,115,48,32,0,0,359,0,0,indianacarroll2018
357,276,77,4,0,0,0,122,61,37,0,0,282,75,0,indianaclark2018
361,301,56,4,0,0,0,129,58,36,0,0,294,67,0,indianadelaware2018
119,71,48,0,0,0,0,89,62,42,0,0,0,116,3,indianadubois2018
363,228,132,3,0,0,0,105,62,44,0,0,139,224,0,indianaelkhart2018
346,295,46,5,0,0,0,143,55,35,0,0,319,27,0,indianafloyd2018
