State,County,age_adjusted_trend,crude_trend,latest_age_adjusted,latest_crude,rank
Michigan,Gogebic,-0.4700000000000132,-0.40000000000003777,7.6,10.3,4083.0
Kansas,Decatur,-0.24999999999996314,-0.19999999999994725,6.4,8.9,4084.0
Kentucky,Jessamine,-0.5699999999999754,-0.5199999999999754,7.8,8.7,4086.0
Montana,Gallatin,-0.08000000000000355,-0.08000000000000287,4.6,4.4,4086.5
Michigan,Luce,-0.5099999999999988,-0.49999999999999983,7.7,9.3,4086.5
North Carolina,Catawba,-0.30999999999998373,-0.25999999999996826,6.8,8.1,4088.0
Texas,Lipscomb,-0.24999999999996994,-0.09999999999993853,6.4,8.0,4088.0
Mississippi,Copiah,-0.4799999999999584,-0.41999999999995247,7.6,9.0,4089.0
Alabama,Montgomery,-0.30999999999998396,-0.29999999999997734,6.8,7.4,4089.5
Texas,Travis,-0.08999999999997144,-0.009999999999960355,4.7,4.5,4089.5
New Hampshire,Strafford,-0.2099999999999539,-0.1899999999999484,6.1,6.4,4090.0
Georgia,Sumter,-0.5100000000000069,-0.4800000000000037,7.7,8.5,4090.5
Oklahoma,Logan,-0.26000000000002205,-0.2600000000000142,6.5,7.3,4090.5
Colorado,Dolores,-0.18999999999994877,-0.2099999999999301,5.9,7.9,4091.0
New York,Ulster,-0.24999999999997718,-0.16999999999996646,6.4,7.8,4092.0
New York,Steuben,-0.3999999999999931,-0.3999999999999943,7.3,8.9,4092.0
Washington,King,-0.06999999999999722,-0.06999999999998932,3.8,3.9,4093.5
Georgia,Stephens,-0.39999999999999364,-0.3199999999999892,7.3,8.8,4095.0
North Carolina,Nash,-0.309999999999991,-0.299999999999985,6.8,8.1,4095.5
Virginia,Arlington,-0.06999999999998974,-0.03999999999998639,3.6,3.4,4095.5
Illinois,Hardin,-0.5199999999999665,-0.5599999999999533,7.7,10.3,4095.5
North Carolina,McDowell,-0.4499999999999925,-0.46999999999998954,7.5,9.2,4099.0
Ohio,Warren,-0.15000000000003075,-0.17000000000002802,5.6,6.3,4100.5
Nebraska,Rock,-0.14999999999994726,-0.12999999999992776,5.5,7.5,4103.0
Indiana,Johnson,-0.2699999999999743,-0.2499999999999706,6.5,7.1,4106.5
Oregon,Benton,-0.14999999999995464,-0.09999999999994656,5.5,5.5,4107.0
Kansas,Johnson,-0.07999999999997318,-0.03999999999997135,4.2,4.6,4107.0
Michigan,Mackinac,-0.48999999999999483,-0.5099999999999987,7.6,10.4,4112.0
Georgia,McDuffie,-0.6000000000000169,-0.6200000000000209,7.8,9.2,4112.0
Wisconsin,Iron,-0.1899999999999942,-0.13999999999999455,5.9,8.6,4112.0
Kansas,Atchison,-0.28999999999995696,-0.24999999999994693,6.6,7.5,4112.5
Mississippi,Kemper,-0.8299999999999889,-0.719999999999998,7.9,9.3,4112.5
Alaska,North Slope,-0.28999999999996334,-0.26999999999996716,6.6,6.5,4113.5
Nebraska,Seward,-0.11999999999998165,-0.04999999999997775,5.2,5.9,4116.0
Wisconsin,Marinette,-0.19999999999999304,-0.19000000000000083,6.0,7.9,4116.5
Georgia,Walker,-0.4900000000000106,-0.5100000000000062,7.6,9.0,4118.0
Texas,Crockett,-0.11999999999998208,-0.039999999999963266,5.2,6.4,4119.0
Wisconsin,Columbia,-0.10999999999999087,-0.0599999999999829,5.1,6.2,4122.0
Wisconsin,Ozaukee,-0.07999999999998772,-0.06999999999999003,4.0,4.9,4125.5
Georgia,Franklin,-0.6299999999999963,-0.66999999999999,7.8,9.1,4127.0
Illinois,McLean,-0.16999999999998197,-0.12999999999998021,5.7,5.7,4129.0
Pennsylvania,Montgomery,-0.08999999999999446,-0.06999999999998974,4.6,5.4,4130.5
