County,AQI_records_19,Good_19,Moderate_19,Unhealthy_sens_19,Unhealthy_19,Very_unhealthy_19,Hazardous_19,Max_AQI_19,90th_Percentile_AQI_19,Median_AQI_19,CO_19,NO2_19,O3_19,PM2.5_19,PM10_19
Baltimore,365,232,124,9,0,0,0,150,71,46,0,6,226,133,0
Baltimore (City),363,217,140,6,0,0,0,126,65,46,0,15,142,206,0
Calvert,232,214,18,0,0,0,0,71,49,39,0,0,232,0,0
Carroll,241,205,35,1,0,0,0,101,54,43,0,0,241,0,0
Cecil,361,265,93,3,0,0,0,150,61,42,0,0,203,158,0
Charles,221,202,19,0,0,0,0,77,50,40,0,0,221,0,0
Dorchester,365,281,81,3,0,0,0,126,58,43,0,0,280,85,0
Frederick,243,198,44,1,0,0,0,112,58,44,0,0,243,0,0
Garrett,365,311,54,0,0,0,0,71,53,39,2,0,238,125,0
Harford,359,229,121,9,0,0,0,133,71,45,0,0,210,149,0
Howard,365,267,98,0,0,0,0,81,58,39,0,77,0,288,0
Kent,360,272,87,1,0,0,0,101,61,42,0,0,215,145,0
Montgomery,361,284,77,0,0,0,0,88,57,41,0,0,190,171,0
Prince George's,365,234,125,6,0,0,0,122,64,45,0,0,247,118,0
Washington,360,279,81,0,0,0,0,93,58,42,0,0,173,187,0
Barnstable,359,346,13,0,0,0,0,93,45,36,0,0,353,6,0
Berkshire,364,266,98,0,0,0,0,87,57,41,0,0,151,213,0
Bristol,364,279,85,0,0,0,0,97,56,43,0,0,248,116,0
Dukes,352,329,19,4,0,0,0,126,48,39,0,0,341,11,0
Essex,364,288,75,1,0,0,0,122,55,41,0,2,193,169,0
Franklin,364,281,83,0,0,0,0,89,56,40,0,0,189,175,0
Hampden,364,260,104,0,0,0,0,93,58,43,0,6,157,201,0
Hampshire,364,296,68,0,0,0,0,93,54,41,0,1,231,132,0
Middlesex,364,289,75,0,0,0,0,80,54,41,0,7,168,189,0
Norfolk,362,352,10,0,0,0,0,100,44,34,0,13,349,0,0
Plymouth,363,289,74,0,0,0,0,90,54,40,0,0,193,170,0
Suffolk,365,224,141,0,0,0,0,87,58,46,1,6,61,297,0
Worcester,365,238,127,0,0,0,0,93,59,45,1,3,127,234,0
Allegan,276,224,48,4,0,0,0,115,62,39,0,0,231,45,0
Bay,316,252,64,0,0,0,0,85,55,34,0,0,0,316,0
Benzie,247,232,15,0,0,0,0,93,46,36,0,0,247,0,0
Berrien,260,232,26,2,0,0,0,112,51,39,0,0,260,0,0
Cass,255,229,26,0,0,0,0,90,51,39,0,0,255,0,0
Chippewa,58,42,16,0,0,0,0,66,56,43,0,0,0,58,0
Clinton,248,243,5,0,0,0,0,67,46,35,0,0,248,0,0
Genesee,340,225,115,0,0,0,0,75,60,42,0,0,145,195,0
Huron,259,250,9,0,0,0,0,90,46,36,0,0,259,0,0
Ingham,365,274,91,0,0,0,0,78,55,40,0,2,144,219,0
Kalamazoo,362,260,102,0,0,0,0,87,58,43,0,0,139,223,0
Kent,365,261,104,0,0,0,0,90,59,40,3,0,174,184,4
Keweenaw,117,114,3,0,0,0,0,73,28,12,0,0,0,117,0
Lenawee,358,233,125,0,0,0,0,91,61,44,0,0,122,236,0
Macomb,292,238,53,1,0,0,0,101,58,39,0,0,234,58,0
Manistee,269,243,25,1,0,0,0,101,50,36,0,0,233,36,0
Mason,254,244,10,0,0,0,0,64,46,35,0,0,254,0,0
Missaukee,363,306,57,0,0,0,0,74,54,36,0,0,252,111,0
Monroe,61,57,4,0,0,0,0,76,46,16,0,0,0,0,61
Muskegon,262,236,25,1,0,0,0,133,50,38,0,0,262,0,0
Oakland,293,233,58,2,0,0,0,122,60,39,0,0,228,65,0
Ottawa,360,300,60,0,0,0,0,100,61,37,0,78,216,63,3
Schoolcraft,364,339,25,0,0,0,0,90,46,31,0,0,222,142,0
St. Clair,365,266,96,3,0,0,0,108,60,41,0,0,138,227,0
Tuscola,355,345,10,0,0,0,0,77,46,33,0,0,355,0,0
Washtenaw,365,248,117,0,0,0,0,89,61,44,0,0,174,191,0
Wayne,365,81,275,9,0,0,0,142,77,58,0,4,28,325,8
Wexford,340,322,18,0,0,0,0,74,46,34,0,0,340,0,0
Anoka,364,274,89,1,0,0,0,122,59,39,2,5,205,152,0
Becker,360,325,34,1,0,0,0,105,50,31,0,0,170,190,0
Beltrami,352,307,43,1,1,0,0,191,53,26,0,0,0,352,0
Carlton,356,341,15,0,0,0,0,80,45,28,0,0,206,150,0
Cass,350,321,28,1,0,0,0,125,44,18,0,0,0,350,0
Cook,334,317,17,0,0,0,0,81,39,22,0,0,0,334,0
Crow Wing,359,324,34,1,0,0,0,101,50,31,0,0,162,197,0
Dakota,365,269,96,0,0,0,0,90,61,36,0,23,0,342,0
Goodhue,216,203,13,0,0,0,0,97,48,37,0,0,216,0,0
Hennepin,365,187,178,0,0,0,0,95,65,49,0,3,41,230,91
Lake,363,333,30,0,0,0,0,83,48,31,0,0,117,213,33
Lyon,362,306,56,0,0,0,0,87,54,34,0,0,163,199,0
Mille Lacs,247,239,8,0,0,0,0,90,44,32,0,0,247,0,0
Olmsted,364,271,93,0,0,0,0,86,60,40,0,0,137,227,0
Ramsey,365,246,119,0,0,0,0,91,63,39,0,0,0,346,19
Saint Louis,365,306,58,1,0,0,0,101,55,38,0,0,153,203,9
Scott,365,273,92,0,0,0,0,93,58,38,0,0,192,173,0
Stearns,344,290,54,0,0,0,0,94,55,34,0,0,194,150,0
Washington,260,192,68,0,0,0,0,87,64,37,0,0,170,89,1
Winona,115,102,13,0,0,0,0,65,52,21,0,0,0,115,0
Wright,362,289,73,0,0,0,0,90,58,36,0,0,199,163,0
Bolivar,364,197,167,0,0,0,0,96,64,49,0,0,95,269,0
DeSoto,364,222,141,1,0,0,0,136,60,46,0,0,93,271,0
Forrest,358,210,148,0,0,0,0,77,60,46,0,0,0,358,0
Hancock,365,263,102,0,0,0,0,80,58,43,0,0,122,243,0
Harrison,363,201,162,0,0,0,0,97,63,47,0,0,69,294,0
Hinds,365,161,204,0,0,0,0,100,66,52,0,0,70,295,0
Jackson,365,232,132,1,0,0,0,105,61,46,0,0,94,271,0
Lauderdale,245,229,16,0,0,0,0,77,49,36,0,0,245,0,0
Lee,241,222,19,0,0,0,0,84,49,39,0,0,241,0,0
Yalobusha,348,334,14,0,0,0,0,71,45,33,0,0,348,0,0
Andrew,245,227,18,0,0,0,0,80,49,40,0,0,245,0,0
Boone,245,239,6,0,0,0,0,71,46,38,0,0,245,0,0
Buchanan,365,223,142,0,0,0,0,84,61,42,0,0,0,327,38
Callaway,245,238,7,0,0,0,0,71,47,39,0,0,245,0,0
Cass,365,289,76,0,0,0,0,93,57,42,0,0,173,192,0
Cedar,351,237,114,0,0,0,0,80,61,44,0,0,128,223,0
Clay,365,266,99,0,0,0,0,90,61,43,0,0,203,162,0
Clinton,245,213,32,0,0,0,0,87,54,42,0,0,245,0,0
Greene,365,262,103,0,0,0,0,77,57,43,0,0,143,208,14
Jackson,365,192,173,0,0,0,0,93,65,49,0,19,0,330,16
Jasper,365,324,40,1,0,0,0,108,51,37,0,0,220,0,145
Jefferson,361,252,107,2,0,0,0,105,62,42,0,0,182,167,12
Lincoln,245,223,22,0,0,0,0,100,50,40,0,0,245,0,0
Monroe,365,357,8,0,0,0,0,71,45,35,0,0,365,0,0
Perry,245,224,21,0,0,0,0,87,50,40,0,0,245,0,0
Saint Charles,244,202,38,3,1,0,0,151,58,42,0,0,244,0,0
Saint Louis,365,194,168,3,0,0,0,143,69,49,0,1,130,234,0
Sainte Genevieve,244,229,15,0,0,0,0,87,49,38,0,0,244,0,0
St. Louis City,365,135,225,5,0,0,0,129,72,54,0,4,91,264,6
Stoddard,107,89,18,0,0,0,0,61,53,31,0,0,0,107,0
Taney,120,112,8,0,0,0,0,59,46,26,0,0,0,120,0
Cascade,363,326,36,1,0,0,0,106,51,28,0,0,0,363,0
Fergus,365,343,22,0,0,0,0,86,48,38,0,0,313,50,2
Flathead,365,267,97,1,0,0,0,103,61,39,0,0,198,143,24
Gallatin,365,301,64,0,0,0,0,92,55,33,4,15,0,346,0
Lake,93,92,1,0,0,0,0,53,26,10,0,0,0,93,0
Lewis and Clark,365,251,112,2,0,0,0,144,68,43,0,0,200,165,0
Lincoln,364,189,174,1,0,0,0,102,75,48,0,0,0,353,11
Missoula,365,173,188,3,1,0,0,153,78,52,0,0,0,364,1
Phillips,365,342,23,0,0,0,0,71,48,34,0,0,295,70,0
Powder River,361,312,48,1,0,0,0,145,52,38,0,0,272,84,5
Powell,109,105,4,0,0,0,0,84,33,12,0,0,0,109,0
Ravalli,364,303,61,0,0,0,0,77,55,19,0,0,0,364,0
Richland,365,322,43,0,0,0,0,93,51,37,0,0,275,85,5
Roosevelt,93,89,4,0,0,0,0,54,29,13,0,0,0,93,0
Rosebud,365,328,36,1,0,0,0,108,51,36,0,2,269,64,30
Sanders,365,289,76,0,0,0,0,95,56,33,0,0,0,357,8
Sheridan,104,101,3,0,0,0,0,57,36,16,0,0,0,104,0
Silver Bow,363,293,70,0,0,0,0,92,60,24,0,0,0,236,127
Yellowstone,292,271,20,0,1,0,0,159,47,31,0,0,0,292,0
Cass,348,348,0,0,0,0,0,46,26,13,0,0,0,0,348
Douglas,365,273,92,0,0,0,0,80,59,42,0,0,156,207,2
Hall,97,87,10,0,0,0,0,64,51,25,0,0,0,97,0
Knox,355,342,13,0,0,0,0,80,46,35,0,0,355,0,0
Lancaster,288,249,39,0,0,0,0,70,52,36,0,0,214,74,0
Sarpy,350,240,110,0,0,0,0,82,60,39,0,0,0,350,0
Scotts Bluff,113,107,6,0,0,0,0,74,45,25,0,0,0,113,0
Thomas,109,105,4,0,0,0,0,62,34,16,0,0,0,109,0
Washington,116,95,21,0,0,0,0,78,55,34,0,0,0,116,0
Carson City,365,296,69,0,0,0,0,97,58,44,0,0,277,88,0
Churchill,353,323,30,0,0,0,0,80,50,41,0,0,353,0,0
Clark,365,128,232,5,0,0,0,122,87,58,1,10,236,110,8
Douglas,356,318,38,0,0,0,0,66,52,17,0,0,0,356,0
Elko,365,356,9,0,0,0,0,77,31,14,0,0,12,23,330
Lyon,356,344,12,0,0,0,0,71,47,38,0,0,346,0,10
Nye,365,352,12,1,0,0,0,146,31,15,0,0,0,0,365
Washoe,365,214,151,0,0,0,0,97,64,48,0,2,273,87,3
White Pine,362,294,67,1,0,0,0,101,61,44,0,0,361,1,0
Belknap,316,292,24,0,0,0,0,77,48,32,0,0,156,160,0
Cheshire,365,331,34,0,0,0,0,82,50,35,0,0,254,111,0
Coos,324,313,11,0,0,0,0,64,47,40,0,0,304,20,0
Grafton,365,332,33,0,0,0,0,65,50,35,0,0,248,117,0
Hillsborough,365,345,20,0,0,0,0,80,47,37,0,0,337,28,0
Merrimack,210,206,4,0,0,0,0,61,44,36,0,0,210,0,0
Rockingham,365,319,45,1,0,0,0,112,52,39,0,0,255,110,0
Atlantic,365,270,94,1,0,0,0,105,55,42,0,0,178,187,0
Bergen,365,149,211,5,0,0,0,150,73,53,0,32,56,277,0
Camden,365,173,187,5,0,0,0,126,71,51,0,9,123,233,0
Cumberland,361,254,104,3,0,0,0,105,61,44,0,1,204,156,0
Essex,365,206,159,0,0,0,0,100,65,47,0,42,122,201,0
Gloucester,280,229,50,1,0,0,0,133,57,37,0,0,207,73,0
Hudson,365,211,154,0,0,0,0,93,64,47,0,57,78,230,0
Hunterdon,362,256,105,1,0,0,0,108,62,43,0,0,178,184,0
Mercer,365,232,131,2,0,0,0,136,64,45,0,0,196,169,0
Middlesex,362,243,116,3,0,0,0,115,63,43,0,6,182,174,0
Monmouth,240,217,23,0,0,0,0,100,50,37,0,0,240,0,0
Morris,364,325,39,0,0,0,0,87,51,36,0,11,322,31,0
Ocean,349,266,81,2,0,0,0,150,60,40,0,0,191,158,0
Passaic,277,226,50,1,0,0,0,122,57,40,0,0,209,68,0
Union,365,167,198,0,0,0,0,100,63,52,0,33,0,332,0
Warren,364,279,84,1,0,0,0,103,57,39,0,26,121,217,0
Bernalillo,365,134,227,4,0,0,0,108,77,55,0,1,218,110,36
Catron,111,111,0,0,0,0,0,42,24,12,0,0,0,111,0
Chaves,118,113,5,0,0,0,0,58,42,21,0,0,0,118,0
Dona Ana,365,156,185,17,3,2,2,645,87,54,0,4,244,60,57
Eddy,365,212,134,17,2,0,0,174,90,47,0,1,360,4,0
Lea,365,210,151,4,0,0,0,140,71,48,0,4,252,109,0
Lincoln,107,107,0,0,0,0,0,42,28,13,0,0,0,107,0
Los Alamos,117,117,0,0,0,0,0,42,21,12,0,0,0,117,0
Luna,361,349,10,1,0,0,1,630,29,12,0,0,0,0,361
Rio Arriba,358,315,43,0,0,0,0,90,54,43,0,0,354,4,0
San Juan,365,208,157,0,0,0,0,97,90,49,0,3,362,0,0
Sandoval,363,275,88,0,0,0,0,97,61,44,0,0,350,11,2
Santa Fe,362,273,88,1,0,0,0,101,67,44,0,0,349,13,0
Socorro,92,92,0,0,0,0,0,41,26,14,0,0,0,92,0
Taos,358,315,43,0,0,0,0,73,53,21,0,0,0,358,0
Valencia,357,270,87,0,0,0,0,93,67,44,0,0,357,0,0
Albany,365,276,89,0,0,0,0,93,58,41,0,0,151,214,0
Bronx,365,212,150,3,0,0,0,115,66,46,0,28,114,223,0
Chautauqua,343,302,40,1,0,0,0,105,53,38,0,0,302,41,0
Dutchess,331,319,12,0,0,0,0,90,45,34,0,0,331,0,0
Erie,365,262,103,0,0,0,0,93,59,43,0,12,130,223,0
Essex,364,327,37,0,0,0,0,80,51,42,0,0,357,7,0
Franklin,177,177,0,0,0,0,0,49,42,31,0,0,177,0,0
Hamilton,323,321,2,0,0,0,0,54,44,35,0,0,323,0,0
Herkimer,185,185,0,0,0,0,0,45,37,29,0,0,185,0,0
Jefferson,205,198,7,0,0,0,0,64,46,35,0,0,205,0,0
Kings,365,280,85,0,0,0,0,78,55,36,0,0,0,365,0
Monroe,365,272,93,0,0,0,0,90,57,40,0,0,140,225,0
Nassau,360,308,52,0,0,0,0,72,53,29,0,0,0,360,0
New York,365,219,144,2,0,0,0,136,62,46,0,0,124,241,0
Niagara,352,339,13,0,0,0,0,80,44,35,0,0,352,0,0
Oneida,355,331,24,0,0,0,0,64,47,23,0,0,0,355,0
Onondaga,365,301,64,0,0,0,0,77,55,39,0,0,221,144,0
Orange,365,307,58,0,0,0,0,74,54,39,0,0,202,163,0
Oswego,321,316,5,0,0,0,0,67,45,34,0,0,321,0,0
Putnam,329,313,15,1,0,0,0,101,46,35,0,0,329,0,0
Queens,365,234,127,4,0,0,0,119,61,45,0,42,141,182,0
Richmond,365,275,90,0,0,0,0,97,60,41,0,0,177,188,0
Rockland,365,314,50,1,0,0,0,112,53,39,0,0,268,97,0
Saratoga,331,328,3,0,0,0,0,58,44,33,0,0,331,0,0
Steuben,365,315,50,0,0,0,0,69,53,37,0,0,208,157,0
Suffolk,365,276,80,9,0,0,0,150,64,43,0,0,261,104,0
Tompkins,356,349,7,0,0,0,0,61,45,35,0,0,356,0,0
Wayne,268,253,15,0,0,0,0,90,47,35,0,0,268,0,0
Westchester,365,309,55,1,0,0,0,105,55,38,0,0,262,103,0
Alexander,305,274,31,0,0,0,0,80,51,39,0,0,245,0,60
Avery,363,333,30,0,0,0,0,77,49,40,0,0,349,14,0
Buncombe,365,277,88,0,0,0,0,84,55,42,0,0,146,219,0
Caldwell,243,214,29,0,0,0,0,74,54,42,0,0,243,0,0
Carteret,259,239,20,0,0,0,0,80,50,37,0,0,259,0,0
Caswell,245,236,9,0,0,0,0,64,47,39,0,0,245,0,0
Catawba,361,215,146,0,0,0,0,74,59,44,0,0,0,361,0
Cumberland,363,236,127,0,0,0,0,84,61,44,0,0,156,204,3
Davidson,350,199,151,0,0,0,0,92,61,47,0,0,0,350,0
Durham,364,207,157,0,0,0,0,87,60,47,0,0,138,226,0
Edgecombe,363,275,88,0,0,0,0,71,55,40,0,0,136,227,0
Forsyth,365,175,190,0,0,0,0,97,66,51,0,6,114,245,0
Graham,245,191,54,0,0,0,0,97,61,44,0,0,245,0,0
Granville,240,195,45,0,0,0,0,87,64,44,0,0,240,0,0
Guilford,365,244,121,0,0,0,0,90,61,44,0,0,180,166,19
Haywood,276,211,65,0,0,0,0,97,64,45,0,0,244,32,0
Hyde,102,98,4,0,0,0,0,63,42,24,0,0,0,102,0
Jackson,103,85,18,0,0,0,0,66,54,34,0,0,0,103,0
Johnston,363,224,139,0,0,0,0,87,60,46,0,0,106,257,0
Lenoir,237,205,32,0,0,0,0,87,54,42,0,0,237,0,0
Lincoln,243,178,65,0,0,0,0,97,64,44,0,0,243,0,0
Macon,358,343,15,0,0,0,0,87,46,33,0,0,358,0,0
Martin,295,261,34,0,0,0,0,74,51,40,0,0,237,0,58
Mecklenburg,365,161,194,10,0,0,0,136,71,52,0,1,146,218,0
Mitchell,333,290,43,0,0,0,0,63,52,29,0,0,0,333,0
Montgomery,365,256,109,0,0,0,0,71,58,44,0,0,153,212,0
New Hanover,348,305,43,0,0,0,0,80,53,37,0,0,209,139,0
Northampton,153,102,51,0,0,0,0,74,56,43,0,11,0,142,0
Person,244,200,44,0,0,0,0,80,58,44,0,0,244,0,0
Pitt,352,271,81,0,0,0,0,87,55,41,0,0,156,196,0
Rockingham,245,207,38,0,0,0,0,84,58,44,0,0,245,0,0
Rowan,365,276,89,0,0,0,0,100,67,44,0,0,319,46,0
Swain,362,259,103,0,0,0,0,90,56,42,0,0,121,241,0
Union,235,175,57,3,0,0,0,105,64,45,0,0,235,0,0
Wake,365,141,224,0,0,0,0,93,64,53,1,1,90,273,0
Yancey,244,191,53,0,0,0,0,87,64,45,0,0,244,0,0
Billings,365,346,19,0,0,0,0,84,46,34,0,0,310,55,0
Burke,365,348,17,0,0,0,0,67,47,34,0,1,302,62,0
Burleigh,365,299,66,0,0,0,0,90,55,36,0,5,155,205,0
Cass,363,301,60,1,1,0,0,157,54,36,0,7,197,159,0
Dunn,365,343,22,0,0,0,0,87,47,35,0,0,303,62,0
McKenzie,365,343,22,0,0,0,0,77,49,35,0,1,309,55,0
Mercer,365,301,64,0,0,0,0,72,53,38,0,0,204,161,0
Oliver,365,330,35,0,0,0,0,84,50,36,0,0,301,64,0
Ward,364,336,28,0,0,0,0,87,46,31,0,5,217,138,4
Williams,362,324,38,0,0,0,0,77,51,34,0,0,263,97,2
Adams,327,294,33,0,0,0,0,66,51,28,0,0,0,327,0
Allen,332,229,103,0,0,0,0,97,61,44,0,0,167,165,0
Ashtabula,245,221,23,1,0,0,0,112,50,39,0,0,245,0,0
Athens,120,99,21,0,0,0,0,61,53,33,0,0,0,120,0
Belmont,365,327,38,0,0,0,0,69,51,15,15,250,0,91,9
Butler,364,236,126,2,0,0,0,101,70,44,0,0,267,92,5
Clark,362,147,213,2,0,0,0,105,67,53,0,0,102,260,0
Clermont,358,247,107,4,0,0,0,140,61,44,0,0,177,181,0
Clinton,244,203,41,0,0,0,0,100,58,43,0,0,244,0,0
Columbiana,62,62,0,0,0,0,0,26,22,12,0,0,0,0,62
Cuyahoga,365,116,245,4,0,0,0,108,74,56,0,0,78,277,10
Delaware,241,214,27,0,0,0,0,84,51,41,0,0,241,0,0
Fayette,355,332,23,0,0,0,0,74,48,38,0,0,355,0,0
Franklin,365,157,207,1,0,0,0,101,68,53,0,0,111,253,1
Geauga,230,189,39,2,0,0,0,119,61,42,0,0,230,0,0
Greene,243,213,30,0,0,0,0,90,54,41,0,0,243,0,0
Hamilton,365,99,260,6,0,0,0,119,77,57,0,4,88,273,0
Harrison,293,277,16,0,0,0,0,64,41,2,236,0,0,57,0
Jefferson,364,143,219,2,0,0,0,123,66,53,0,0,47,317,0
Knox,245,218,27,0,0,0,0,93,51,41,0,0,245,0,0
Lake,365,292,68,5,0,0,0,115,58,40,0,0,187,178,0
Lawrence,365,263,102,0,0,0,0,77,55,43,0,0,131,234,0
Licking,245,223,22,0,0,0,0,80,50,41,0,0,245,0,0
Lorain,362,260,102,0,0,0,0,75,58,41,0,0,153,209,0
Lucas,351,224,126,1,0,0,0,143,64,44,0,0,117,234,0
Madison,245,209,36,0,0,0,0,93,54,42,0,0,245,0,0
Mahoning,360,232,128,0,0,0,0,84,59,46,0,0,93,267,0
Medina,353,230,123,0,0,0,0,81,58,44,0,0,99,254,0
Miami,241,226,15,0,0,0,0,77,49,40,0,0,241,0,0
Montgomery,365,163,202,0,0,0,0,95,67,52,0,0,101,264,0
Noble,361,325,36,0,0,0,0,87,50,38,0,0,326,35,0
Portage,270,233,37,0,0,0,0,87,54,38,0,0,202,68,0
Preble,364,201,163,0,0,0,0,93,64,48,0,0,147,217,0
Scioto,365,337,28,0,0,0,0,78,44,14,0,0,0,111,254
Stark,365,157,208,0,0,0,0,100,71,52,0,0,115,250,0
Summit,363,199,161,3,0,0,0,115,65,48,0,0,117,246,0
Trumbull,362,249,113,0,0,0,0,100,60,44,0,0,162,200,0
Warren,360,210,147,3,0,0,0,122,64,47,0,0,148,212,0
Washington,245,219,26,0,0,0,0,87,51,41,0,0,245,0,0
Wood,244,225,19,0,0,0,0,87,49,38,0,0,244,0,0
Adair,365,295,70,0,0,0,0,88,54,40,1,0,215,148,1
Canadian,355,306,48,1,0,0,0,105,54,37,0,0,355,0,0
Carter,365,228,137,0,0,0,0,97,61,46,0,0,157,208,0
Choctaw,252,238,14,0,0,0,0,90,47,37,0,0,252,0,0
Cleveland,365,160,205,0,0,0,0,90,67,52,0,0,131,234,0
Comanche,365,220,145,0,0,0,0,97,64,47,0,0,155,210,0
Creek,356,331,24,1,0,0,0,101,48,36,0,0,356,0,0
Custer,236,235,1,0,0,0,0,58,26,14,0,0,0,0,236
Dewey,365,230,135,0,0,0,0,93,61,44,0,0,166,199,0
Grant,27,27,0,0,0,0,0,43,42,22,0,0,0,27,0
Johnston,141,128,13,0,0,0,0,67,50,40,0,0,141,0,0
Kay,365,206,158,1,0,0,0,106,61,47,0,0,69,296,0
Le Flore,38,31,7,0,0,0,0,82,56,36,0,0,0,36,2
Mayes,297,283,14,0,0,0,0,100,46,35,0,0,297,0,0
Muskogee,134,117,15,1,1,0,0,169,57,18,0,0,0,0,134
Nowata,365,228,136,1,0,0,0,118,61,45,0,0,152,213,0
Oklahoma,365,156,208,1,0,0,0,119,71,52,0,3,131,230,1
Osage,354,311,43,0,0,0,0,90,51,38,0,0,354,0,0
Ottawa,363,222,140,1,0,0,0,104,62,45,0,0,57,277,29
Pittsburg,365,220,143,2,0,0,0,105,62,46,0,0,183,182,0
Sequoyah,361,279,82,0,0,0,0,67,56,41,0,10,141,210,0
Tulsa,365,188,176,1,0,0,0,105,67,50,0,0,133,232,0
Baker,360,293,67,0,0,0,0,68,56,31,0,0,0,360,0
Benton,365,302,63,0,0,0,0,87,56,22,0,0,0,365,0
Clackamas,225,214,10,1,0,0,0,101,44,31,0,0,130,95,0
Columbia,363,342,21,0,0,0,0,84,46,27,0,0,128,235,0
Coos,107,99,8,0,0,0,0,63,47,25,0,0,0,107,0
Crook,365,266,98,1,0,0,0,103,63,30,0,0,0,365,0
Deschutes,365,309,51,4,1,0,0,154,53,26,0,0,0,365,0
Douglas,347,256,91,0,0,0,0,82,64,32,0,0,0,347,0
Grant,349,205,143,1,0,0,0,103,65,41,0,0,0,349,0
Harney,364,204,155,5,0,0,0,131,70,44,0,0,0,364,0
Jackson,365,249,109,3,4,0,0,190,64,41,0,0,123,242,0
Jefferson,365,261,102,2,0,0,0,122,66,29,0,0,0,365,0
Josephine,365,251,109,3,2,0,0,175,68,34,0,0,0,365,0
Klamath,365,230,129,6,0,0,0,126,78,39,0,0,0,365,0
Lake,363,288,74,1,0,0,0,106,61,25,0,0,0,363,0
Lane,365,216,141,8,0,0,0,117,78,44,0,0,50,308,7
Linn,365,233,130,2,0,0,0,104,66,37,0,0,0,365,0
Marion,356,262,94,0,0,0,0,93,63,37,0,0,108,248,0
Multnomah,365,283,82,0,0,0,0,91,58,36,0,3,168,194,0
Umatilla,365,267,97,1,0,0,0,104,63,40,0,0,142,223,0
Union,365,313,52,0,0,0,0,88,53,26,0,0,0,364,1
Wallowa,363,289,73,1,0,0,0,103,56,29,0,0,0,363,0
Wasco,350,262,88,0,0,0,0,89,62,31,0,0,0,350,0
Washington,365,268,96,1,0,0,0,102,62,37,0,8,96,260,1
Adams,365,243,122,0,0,0,0,87,63,45,0,0,210,155,0
Allegheny,365,67,287,7,4,0,0,165,80,59,0,0,39,326,0
Armstrong,365,261,104,0,0,0,0,72,57,43,0,0,154,211,0
Beaver,365,183,181,1,0,0,0,132,67,50,0,0,150,215,0
Berks,365,230,129,5,1,0,0,170,67,44,0,0,167,198,0
Blair,352,220,132,0,0,0,0,93,64,46,0,0,147,205,0
Bradford,352,273,79,0,0,0,0,78,58,41,0,0,157,195,0
Bucks,357,318,36,3,0,0,0,136,54,35,0,0,357,0,0
Cambria,365,229,136,0,0,0,0,89,62,45,2,4,109,250,0
Centre,365,192,173,0,0,0,0,99,66,49,0,0,120,245,0
Chester,364,223,139,2,0,0,0,115,67,46,0,0,196,168,0
Clearfield,359,357,2,0,0,0,0,61,44,33,0,0,359,0,0
Cumberland,365,178,182,5,0,0,0,150,68,51,0,0,0,365,0
Dauphin,365,232,129,3,1,0,0,161,67,44,0,0,162,202,1
Delaware,365,180,178,7,0,0,0,133,74,51,0,1,136,228,0
Elk,357,345,12,0,0,0,0,80,46,35,0,0,357,0,0
Erie,364,271,93,0,0,0,0,93,56,39,2,4,172,186,0
Fayette,360,273,87,0,0,0,0,75,57,42,0,0,192,168,0
Franklin,341,324,17,0,0,0,0,80,48,36,0,0,341,0,0
Greene,349,294,55,0,0,0,0,71,54,38,0,0,190,159,0
Indiana,350,324,26,0,0,0,0,93,49,38,0,0,350,0,0
Lackawanna,365,309,56,0,0,0,0,82,53,39,0,11,233,121,0
Lancaster,365,160,195,9,1,0,0,159,76,52,0,0,104,261,0
Lawrence,361,356,5,0,0,0,0,74,43,31,0,0,361,0,0
Lebanon,360,219,137,4,0,0,0,142,66,46,0,0,135,225,0
Lehigh,360,254,103,3,0,0,0,119,64,43,0,0,159,199,2
Luzerne,361,350,11,0,0,0,0,77,45,34,0,0,352,0,9
Lycoming,361,322,39,0,0,0,0,77,51,37,0,0,269,92,0
Mercer,365,240,125,0,0,0,0,96,61,44,0,0,181,184,0
Monroe,349,340,9,0,0,0,0,80,45,34,0,0,349,0,0
Montgomery,362,262,99,1,0,0,0,129,61,40,0,0,163,199,0
Northampton,363,238,122,3,0,0,0,114,66,44,0,1,165,197,0
Philadelphia,365,193,166,6,0,0,0,140,72,49,0,12,131,222,0
Somerset,359,340,19,0,0,0,0,80,48,36,0,0,359,0,0
Susquehanna,352,292,60,0,0,0,0,79,55,32,0,0,0,352,0
Tioga,361,317,44,0,0,0,0,77,52,37,0,3,238,120,0
Washington,365,177,188,0,0,0,0,95,66,51,0,0,110,255,0
Westmoreland,354,276,78,0,0,0,0,93,55,41,0,0,195,159,0
Wyoming,27,18,9,0,0,0,0,87,67,38,0,0,0,27,0
York,365,232,133,0,0,0,0,94,60,44,0,17,160,188,0
Adjuntas,117,98,19,0,0,0,0,70,54,24,0,0,0,117,0
Bayamon,278,239,39,0,0,0,0,79,53,20,30,0,108,140,0
Caguas,354,322,28,4,0,0,0,114,47,10,119,121,0,114,0
Catano,347,194,142,10,1,0,0,173,89,45,0,0,62,242,43
Fajardo,119,93,26,0,0,0,0,85,58,29,0,0,0,119,0
Guayama,2,2,0,0,0,0,0,29,29,29,0,0,0,0,2
Guaynabo,362,312,46,4,0,0,0,110,56,22,23,223,0,112,4
Mayagnez,202,136,66,0,0,0,0,87,63,33,0,0,7,195,0
Ponce,351,204,141,6,0,0,0,136,69,43,9,0,0,274,68
