Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Year
2021-05-17,AQS,540030003,1,0.053,ppm,49,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-18,AQS,540030003,1,0.058,ppm,61,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-19,AQS,540030003,1,0.061,ppm,71,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-20,AQS,540030003,1,0.068,ppm,93,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-21,AQS,540030003,1,0.061,ppm,71,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-22,AQS,540030003,1,0.058,ppm,61,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-23,AQS,540030003,1,0.053,ppm,49,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-24,AQS,540030003,1,0.021,ppm,19,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-25,AQS,540030003,1,0.037,ppm,34,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-26,AQS,540030003,1,0.047,ppm,44,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-27,AQS,540030003,1,0.045,ppm,42,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-28,AQS,540030003,1,0.038,ppm,35,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-29,AQS,540030003,1,0.026,ppm,24,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-30,AQS,540030003,1,0.023,ppm,21,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-31,AQS,540030003,1,0.041,ppm,38,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-01,AQS,540030003,1,0.041,ppm,38,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-02,AQS,540030003,1,0.047,ppm,44,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-03,AQS,540030003,1,0.028,ppm,26,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-04,AQS,540030003,1,0.052,ppm,48,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-05,AQS,540030003,1,0.061,ppm,71,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-06,AQS,540030003,1,0.051,ppm,47,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-07,AQS,540030003,1,0.039,ppm,36,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-08,AQS,540030003,1,0.032,ppm,30,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-10,AQS,540030003,1,0.044,ppm,41,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-11,AQS,540030003,1,0.016,ppm,15,MARTINSBURG BALL FIELD,17,100.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-12,AQS,540030003,1,0.027,ppm,25,MARTINSBURG BALL FIELD,13,76.0,44201,Ozone,160.0,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
