"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"06/14/2023","AQS","540030003","1","0.05","ppm","46","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/15/2023","AQS","540030003","1","0.055","ppm","51","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/16/2023","AQS","540030003","1","0.051","ppm","47","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/17/2023","AQS","540030003","1","0.041","ppm","38","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/18/2023","AQS","540030003","1","0.053","ppm","49","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/19/2023","AQS","540030003","1","0.065","ppm","84","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/20/2023","AQS","540030003","1","0.053","ppm","49","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/21/2023","AQS","540030003","1","0.032","ppm","30","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/22/2023","AQS","540030003","1","0.018","ppm","17","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/23/2023","AQS","540030003","1","0.025","ppm","23","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/24/2023","AQS","540030003","1","0.036","ppm","33","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/25/2023","AQS","540030003","1","0.037","ppm","34","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/26/2023","AQS","540030003","1","0.049","ppm","45","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/27/2023","AQS","540030003","1","0.039","ppm","36","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
"06/28/2023","AQS","540030003","1","0.05","ppm","46","MARTINSBURG BALL FIELD","17","100.0000","44201","Ozone","160","25180","Hagerstown-Martinsburg, MD-WV","54","West Virginia","003","Berkeley","39.448104902","-77.963845203"
