Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,Year
2021-04-22,AQS,540030003,1,3.6,ug/m3 LC,20,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-01,AQS,540030003,1,3.9,ug/m3 LC,22,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-04,AQS,540030003,1,5.9,ug/m3 LC,33,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-07,AQS,540030003,1,4.3,ug/m3 LC,24,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-10,AQS,540030003,1,2.6,ug/m3 LC,14,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-13,AQS,540030003,1,3.8,ug/m3 LC,21,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-16,AQS,540030003,1,13.6,ug/m3 LC,59,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-19,AQS,540030003,1,9.6,ug/m3 LC,52,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-22,AQS,540030003,1,10.6,ug/m3 LC,54,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-25,AQS,540030003,1,10.8,ug/m3 LC,54,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-28,AQS,540030003,1,7.3,ug/m3 LC,41,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-05-31,AQS,540030003,1,5.7,ug/m3 LC,32,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-03,AQS,540030003,1,6.4,ug/m3 LC,36,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-06,AQS,540030003,1,12.3,ug/m3 LC,57,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-09,AQS,540030003,1,6.8,ug/m3 LC,38,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-12,AQS,540030003,1,5.3,ug/m3 LC,29,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-15,AQS,540030003,1,7.1,ug/m3 LC,39,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-18,AQS,540030003,1,11.2,ug/m3 LC,55,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-21,AQS,540030003,1,7.8,ug/m3 LC,43,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-24,AQS,540030003,1,6.3,ug/m3 LC,35,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-27,AQS,540030003,1,6.8,ug/m3 LC,38,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
2021-06-30,AQS,540030003,1,4.8,ug/m3 LC,27,MARTINSBURG BALL FIELD,1,100.0,88101,PM2.5 - Local Conditions,145.0,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,25180.0,"Hagerstown-Martinsburg, MD-WV",54,West Virginia,3,Berkeley,39.448104902,-77.963845203,2021
