NIC_PT,NUI_PT,NAME,IPRCAT,AGECAT,SEXCAT,YEAR,state,county
2175,1071,"Harrison County, WV",1,2,1,2006,54,033
10435,1864,"Harrison County, WV",0,2,2,2006,54,033
2518,1138,"Harrison County, WV",1,2,2,2006,54,033
14654,1375,"Harrison County, WV",0,4,0,2006,54,033
6548,751,"Harrison County, WV",1,4,0,2006,54,033
19455,4199,"Jackson County, WV",0,0,0,2006,54,035
5876,2448,"Jackson County, WV",1,0,0,2006,54,035
9551,2243,"Jackson County, WV",0,0,1,2006,54,035
2649,1202,"Jackson County, WV",1,0,1,2006,54,035
9904,1956,"Jackson County, WV",0,0,2,2006,54,035
3227,1246,"Jackson County, WV",1,0,2,2006,54,035
13776,3621,"Jackson County, WV",0,1,0,2006,54,035
3420,2089,"Jackson County, WV",1,1,0,2006,54,035
6642,1951,"Jackson County, WV",0,1,1,2006,54,035
1422,1023,"Jackson County, WV",1,1,1,2006,54,035
1734,867,"Jackson County, WV",1,2,0,2006,54,035
7134,1670,"Jackson County, WV",0,1,2,2006,54,035
1998,1065,"Jackson County, WV",1,1,2,2006,54,035
7956,1551,"Jackson County, WV",0,2,0,2006,54,035
3835,794,"Jackson County, WV",0,2,1,2006,54,035
747,408,"Jackson County, WV",1,2,1,2006,54,035
4122,758,"Jackson County, WV",0,2,2,2006,54,035
986,458,"Jackson County, WV",1,2,2,2006,54,035
5953,632,"Jackson County, WV",0,4,0,2006,54,035
2519,383,"Jackson County, WV",1,4,0,2006,54,035
36875,8481,"Jefferson County, WV",0,0,0,2006,54,037
5111,4855,"Jefferson County, WV",1,0,0,2006,54,037
18344,4520,"Jefferson County, WV",0,0,1,2006,54,037
2268,2337,"Jefferson County, WV",1,0,1,2006,54,037
18530,3962,"Jefferson County, WV",0,0,2,2006,54,037
2843,2518,"Jefferson County, WV",1,0,2,2006,54,037
25613,6990,"Jefferson County, WV",0,1,0,2006,54,037
2660,3888,"Jefferson County, WV",1,1,0,2006,54,037
12614,3698,"Jefferson County, WV",0,1,1,2006,54,037
1049,1791,"Jefferson County, WV",1,1,1,2006,54,037
13000,3292,"Jefferson County, WV",0,1,2,2006,54,037
1611,2097,"Jefferson County, WV",1,1,2,2006,54,037
15409,2973,"Jefferson County, WV",0,2,0,2006,54,037
1351,1598,"Jefferson County, WV",1,2,0,2006,54,037
7645,1535,"Jefferson County, WV",0,2,1,2006,54,037
600,751,"Jefferson County, WV",1,2,1,2006,54,037
7764,1439,"Jefferson County, WV",0,2,2,2006,54,037
751,847,"Jefferson County, WV",1,2,2,2006,54,037
11786,1650,"Jefferson County, WV",0,4,0,2006,54,037
2508,1073,"Jefferson County, WV",1,4,0,2006,54,037
133082,27171,"Kanawha County, WV",0,0,0,2006,54,039
39905,12010,"Kanawha County, WV",1,0,0,2006,54,039
64335,14963,"Kanawha County, WV",0,0,1,2006,54,039
18363,6124,"Kanawha County, WV",1,0,1,2006,54,039
68747,12208,"Kanawha County, WV",0,0,2,2006,54,039
21542,5886,"Kanawha County, WV",1,0,2,2006,54,039
94883,24109,"Kanawha County, WV",0,1,0,2006,54,039
50108,10720,"Kanawha County, WV",0,1,2,2006,54,039
22793,10596,"Kanawha County, WV",1,1,0,2006,54,039
44775,13389,"Kanawha County, WV",0,1,1,2006,54,039
9698,5385,"Kanawha County, WV",1,1,1,2006,54,039
13096,5211,"Kanawha County, WV",1,1,2,2006,54,039
57792,11426,"Kanawha County, WV",0,2,0,2006,54,039
11997,4948,"Kanawha County, WV",1,2,0,2006,54,039
27866,5638,"Kanawha County, WV",0,2,1,2006,54,039
5462,2510,"Kanawha County, WV",1,2,1,2006,54,039
29926,5788,"Kanawha County, WV",0,2,2,2006,54,039
6535,2437,"Kanawha County, WV",1,2,2,2006,54,039
40160,3289,"Kanawha County, WV",0,4,0,2006,54,039
17490,1493,"Kanawha County, WV",1,4,0,2006,54,039
11568,2649,"Lewis County, WV",0,0,0,2006,54,041
4547,1595,"Lewis County, WV",1,0,0,2006,54,041
5704,1437,"Lewis County, WV",0,0,1,2006,54,041
2087,789,"Lewis County, WV",1,0,1,2006,54,041
5864,1212,"Lewis County, WV",0,0,2,2006,54,041
2460,806,"Lewis County, WV",1,0,2,2006,54,041
8262,2352,"Lewis County, WV",0,1,0,2006,54,041
2731,1405,"Lewis County, WV",1,1,0,2006,54,041
4024,1281,"Lewis County, WV",0,1,1,2006,54,041
1207,695,"Lewis County, WV",1,1,1,2006,54,041
4238,1071,"Lewis County, WV",0,1,2,2006,54,041
1524,710,"Lewis County, WV",1,1,2,2006,54,041
4996,939,"Lewis County, WV",0,2,0,2006,54,041
1463,550,"Lewis County, WV",1,2,0,2006,54,041
2422,514,"Lewis County, WV",0,2,1,2006,54,041
671,279,"Lewis County, WV",1,2,1,2006,54,041
2573,425,"Lewis County, WV",0,2,2,2006,54,041
792,271,"Lewis County, WV",1,2,2,2006,54,041
3484,331,"Lewis County, WV",0,4,0,2006,54,041
1884,208,"Lewis County, WV",1,4,0,2006,54,041
15835,3344,"Lincoln County, WV",0,0,0,2006,54,043
7284,2153,"Lincoln County, WV",1,0,0,2006,54,043
7881,1694,"Lincoln County, WV",0,0,1,2006,54,043
3512,983,"Lincoln County, WV",1,0,1,2006,54,043
7954,1651,"Lincoln County, WV",0,0,2,2006,54,043
5573,1498,"Lincoln County, WV",0,1,1,2006,54,043
3772,1170,"Lincoln County, WV",1,0,2,2006,54,043
11306,2931,"Lincoln County, WV",0,1,0,2006,54,043
4650,1884,"Lincoln County, WV",1,1,0,2006,54,043
2251,865,"Lincoln County, WV",1,1,1,2006,54,043
5733,1433,"Lincoln County, WV",0,1,2,2006,54,043
2399,1019,"Lincoln County, WV",1,1,2,2006,54,043
6430,1188,"Lincoln County, WV",0,2,0,2006,54,043
2521,767,"Lincoln County, WV",1,2,0,2006,54,043
3226,564,"Lincoln County, WV",0,2,1,2006,54,043
1270,334,"Lincoln County, WV",1,2,1,2006,54,043
3204,624,"Lincoln County, WV",0,2,2,2006,54,043
1250,433,"Lincoln County, WV",1,2,2,2006,54,043
4740,454,"Lincoln County, WV",0,4,0,2006,54,043
2717,292,"Lincoln County, WV",1,4,0,2006,54,043
25670,4785,"Logan County, WV",0,0,0,2006,54,045
11108,2647,"Logan County, WV",1,0,0,2006,54,045
12555,2602,"Logan County, WV",0,0,1,2006,54,045
5235,1246,"Logan County, WV",1,0,1,2006,54,045
13114,2182,"Logan County, WV",0,0,2,2006,54,045
5873,1402,"Logan County, WV",1,0,2,2006,54,045
18588,4235,"Logan County, WV",0,1,0,2006,54,045
7253,2345,"Logan County, WV",1,1,0,2006,54,045
8958,2309,"Logan County, WV",0,1,1,2006,54,045
3328,1086,"Logan County, WV",1,1,1,2006,54,045
9631,1926,"Logan County, WV",0,1,2,2006,54,045
3926,1259,"Logan County, WV",1,1,2,2006,54,045
10875,1887,"Logan County, WV",0,2,0,2006,54,045
3913,1039,"Logan County, WV",1,2,0,2006,54,045
5250,986,"Logan County, WV",0,2,1,2006,54,045
1831,448,"Logan County, WV",1,2,1,2006,54,045
5625,900,"Logan County, WV",0,2,2,2006,54,045
2082,591,"Logan County, WV",1,2,2,2006,54,045
7424,608,"Logan County, WV",0,4,0,2006,54,045
3970,327,"Logan County, WV",1,4,0,2006,54,045
16077,3068,"McDowell County, WV",0,0,0,2006,54,047
9955,1761,"McDowell County, WV",1,0,0,2006,54,047
7627,1776,"McDowell County, WV",0,0,1,2006,54,047
11498,2823,"McDowell County, WV",0,1,0,2006,54,047
4735,918,"McDowell County, WV",1,0,1,2006,54,047
8450,1292,"McDowell County, WV",0,0,2,2006,54,047
5219,843,"McDowell County, WV",1,0,2,2006,54,047
6533,1615,"McDowell County, WV",1,1,0,2006,54,047
5274,1646,"McDowell County, WV",0,1,1,2006,54,047
2935,839,"McDowell County, WV",1,1,1,2006,54,047
6223,1177,"McDowell County, WV",0,1,2,2006,54,047
3599,776,"McDowell County, WV",1,1,2,2006,54,047
7223,1663,"McDowell County, WV",0,2,0,2006,54,047
3811,871,"McDowell County, WV",1,2,0,2006,54,047
3348,949,"McDowell County, WV",0,2,1,2006,54,047
1791,439,"McDowell County, WV",1,2,1,2006,54,047
3875,714,"McDowell County, WV",0,2,2,2006,54,047
2020,432,"McDowell County, WV",1,2,2,2006,54,047
4740,319,"McDowell County, WV",0,4,0,2006,54,047
3526,167,"McDowell County, WV",1,4,0,2006,54,047
37061,10055,"Marion County, WV",0,0,0,2006,54,049
8785,7136,"Marion County, WV",1,0,0,2006,54,049
18369,4998,"Marion County, WV",0,0,1,2006,54,049
